uid,title,url,image,contenttype,serie,year,normalized,characters,firstparagraph,allpixels,paperpixels,paintedpixels,description,country,duration,seconds,mp3,interviews
t-001,Los incendios reducirían entre 50 y 100 años la vida útil de los embalses en Córdoba,https://unciencia.unc.edu.ar/medioambiente/los-incendios-reducirian-entre-50-y-100-anos-la-vida-util-de-los-embalses-en-cordoba/,https://unciencia.unc.edu.ar/wp-content/blogs.dir/4/files/sites/4/2014/12/los-incendios-reducen-entre-50-y-100-anhos-la-vida-util-de-los-embalses-en-cordoba.jpg,Artículos,Medioambiente,2014,0.305298,8044.0,El fuego ocasiona la pérdida de materia orgánica&#x2c; disminuye la absorción del suelo y así aumenta la circulación del agua en las cuencas de drenaje. El resultado: mayor traslado y acumulación de cenizas y sedimentos en esos reservorios&#x2c; lo que reduce su capacidad de almacenamiento. La investigación de la UNC se enfocó en los embalses San Roque y Los Molinos&#x2c; que proveen de agua para consumo a la capital provincial. [10.12.2014],,,,,,,,,
t-002,Desarrollan biosensores con nanopartículas para detectar glucosa en sangre,https://unciencia.unc.edu.ar/innovacion/desarrollan-biosensores-con-nanoparticulas-para-detectar-glucosa-en-sangre/,https://unciencia.unc.edu.ar/wp-content/blogs.dir/31/files/sites/4/2014/12/UNCiencia_Biosensores_de_Glucosa-031-1024x503.jpg,Artículos,Innovación,2014,0.459048,12095.0,Fue ideado por un equipo interdisciplinario y permite detectar indirectamente la presencia y cantidad de glucosa en una muestra. Se utiliza dentro de un dispositivo estándar para el análisis de reacciones electroquímicas. La clave radica en las nanopartículas de magnetita recubiertas con carbono&#x2c; cuya producción demandó que las investigadoras utilizaran un método simple y de bajo costo de obtención. Por ahora&#x2c; es una innovación de gran sensibilidad y rapidez que se aplica en mediciones experimentales de laboratorio. [03.12.2014],,,,,,,,,
t-003,"Doctor, no quiero vacunar a mis hijos ¿Qué hago?",https://unciencia.unc.edu.ar/salud/doctor-no-quiero-vacunar-a-mis-hijos-que-hago/,https://unciencia.unc.edu.ar/wp-content/blogs.dir/31/files/sites/4/2014/12/vacunacion-1024x503.jpg,Artículos,Salud,2014,0.229847,6056.0,El siglo XX fue una gran época para la salud pública. Los avances científicos y tecnológicos no solo mejoraron nuestra calidad de vida&#x2c; también permitieron extender su expectativa: en América Latina&#x2c;según un informe de la Organización Panamericana de la Salud&#x2c; la esperanza de vida pasó de 29 años en 1900 a 74 años en 2010. [03.12.2014],,,,,,,,,
t-004,Descubren cómo reducir las dosis de morfina sin atenuar su efecto analgésico,https://unciencia.unc.edu.ar/salud/descubren-como-reducir-las-dosis-de-morfina-sin-atenuar-su-efecto-analgesico/,https://unciencia.unc.edu.ar/wp-content/blogs.dir/31/files/sites/4/2014/11/UNCiencia_tratamiento_innovador_para_el_dolor_morfina_omega3-011-1024x503.jpg,Artículos,Salud,2014,0.212502,5599.0,Tratamiento del dolor | La clave está en combinar ese fármaco con ácidos grasos Omega 3. El nuevo compuesto –cuya patente ya se encuentra en trámite– fue testeado con éxito en animales de laboratorio: mantuvo su potencial calmante sin generar tolerancia. Actualmente cierran los detalles de un convenio con una institución cordobesa para realizar pruebas clínicas en pacientes oncológicos. [12.11.2014],,,,,,,,,
t-005,"El sur de la ciudad de Córdoba, cada vez más fragmentado",https://unciencia.unc.edu.ar/geografia/el-sur-de-la-ciudad-de-cordoba-cada-vez-mas-fragmentado/,https://unciencia.unc.edu.ar/wp-content/blogs.dir/31/files/sites/4/2014/11/UNCiencia_conflictos_Zona_Sur_011-1024x503.jpg,Artículos,Geografía,2014,0.238386,6281.0,Ese sector se expande principalmente en forma dispersa y con baja densidad poblacional&#x2c; situación promovida mayormente por el desarrollo de urbanizaciones residenciales cerradas o privadas en áreas originalmente dedicadas a la producción agrícola. El fenómeno implica la reducción de la superficie del “cinturón verde”&#x2c; dedicado a la explotación frutihortícola&#x2c; y conlleva un incremento de los costos para extender la infraestructura de servicios urbanos. Los investigadores proponen trabajar en una planificación participativa donde intervengan empresarios&#x2c; sindicatos y universidades&#x2c; junto con el Estado. [05.11.2014],,,,,,,,,
t-006,"Los comentarios sexistas, la expresión más común de la violencia de género entre los universitarios",https://unciencia.unc.edu.ar/genero/los-comentarios-sexistas-la-expresion-mas-comun-de-la-violencia-de-genero-entre-los-universitarios/,https://unciencia.unc.edu.ar/wp-content/blogs.dir/4/files/sites/4/2014/10/los-comentarios-sexistas-la-expresion-mas-comun-de-la-violencia-de-genero-entre-los-universitarios.jpg,Artículos,Género,2014,0.197093,5193.0,La afirmación es resultado de un trabajo de investigación que encuestó de manera online a 950 estudiantes que cursan en las diferentes unidades académicas. Advierte que la violencia verbal o simbólica cuenta con mayor grado de naturalización e invisibilización&#x2c; al tiempo que parece ser más tolerada y estar sostenida socialmente. Proponen incluir formación en género dentro de los planes de estudio de todas las carreras. [29.10.2014],,,,,,,,,
t-007,"Cementerios, donde la memoria no descansa",https://unciencia.unc.edu.ar/arquitectura/cementerios-donde-la-memoria-no-descansa/,https://unciencia.unc.edu.ar/wp-content/blogs.dir/31/files/sites/4/2014/10/UNCiencia_Cementerios_071-1024x503.jpg,Artículos,Arquitectura,2014,0.224457,5914.0,Estas “ciudades de los muertos” son una representación simbólica de la sociedad donde están asentadas. Son espacios donde se ponen de manifiesto los modos en que la muerte es percibida en un momento histórico determinado. En ese sentido&#x2c; forman parte de la memoria urbana&#x2c; y recorrerlos permite acceder a la identidad de una comunidad. [29.10.2014],,,,,,,,,
t-008,Récord de avistamientos de la ballena franca austral en Península Valdés,https://unciencia.unc.edu.ar/biologia/record-de-avistamientos-de-la-ballena-franca-austral-en-peninsula-valdes/,https://unciencia.unc.edu.ar/wp-content/blogs.dir/31/files/sites/4/2014/10/UNCiencia_Ballena_Franca_Austral_011-1024x503.jpg,Artículos,Biología,2014,0.431987,11382.0,A través de un relevamiento fotográfico aéreo&#x2c; científicos argentinos contabilizaron 757 ballenas en el mar argentino que baña las costas de ese enclave en la provincia de Chubut&#x2c; Argentina. Es el mayor número de animales observados desde 1971&#x2c; cuando el Instituto de Conservación de Ballenas y Ocean Alliance comenzaron esa labor de identificación. En lo que va de 2014&#x2c; también registraron 255 nacimientos y 17 muertes. [22.10.2014],,,,,,,,,
t-009,Idean un dispositivo para el saneamiento de lagunas artificiales,https://unciencia.unc.edu.ar/innovacion/idean-un-dispositivo-para-el-saneamiento-de-lagunas-artificiales/,https://unciencia.unc.edu.ar/wp-content/blogs.dir/31/files/sites/4/2014/10/UNCiencia_Saneamiento_Lagunas-021-1024x503.jpg,Artículos,Innovación,2014,0.242295,6384.0,Es un equipo flotante móvil que absorbe el agua de la superficie y retiene la materia orgánica suspendida mediante un sistema de filtros. Puede ser operado de manera remota y tiene un bajo costo de mantenimiento. Fue diseñado como trabajo final de su carrera por dos estudiantes de Diseño Industrial de la UNC. Los jóvenes focalizaron su trabajo en la laguna del Parque Sarmiento&#x2c; uno de los espacios verdes más importantes de la ciudad de Córdoba&#x2c; pero puede ser utilizado en estanques de barrios cerrados y parques públicos de todo el país. [22.10.2014],,,,,,,,,
t-010,Diseñan un film ocular bioadhesivo para el tratamiento del glaucoma,https://unciencia.unc.edu.ar/oftalmologia/disenan-un-film-ocular-bioadhesivo-para-el-tratamiento-del-glaucoma/,https://unciencia.unc.edu.ar/wp-content/blogs.dir/4/files/sites/4/2014/10/disenhan-un-film-ocular-bioadhesivo-para-el-tratamiento-del-glaucoma.jpg,Artículos,Oftalmología,2014,0.245028,6456.0,Se trata de una película elaborada con diferentes polímeros biocompatibles que se coloca sobre el ojo y libera gradualmente un fármaco contra esa enfermedad&#x2c; identificada como una de las causas más comunes de ceguera irreversible. El nuevo dispositivo terapéutico&#x2c; recientemente patentado&#x2c; asegura la llegada de la droga al interior del ojo sin afectar la visión&#x2c; ni generar irritación. Aunque resta probarlo en humanos&#x2c; los resultados en animales fueron exitosos. [15.10.2014],,,,,,,,,
